t,z,thrust,z_ref
1.232,0.5124,19.585,0.55
1.236,0.51245,19.585,0.55
1.24,0.51249,19.585,0.55
1.244,0.51254,19.586,0.55
1.248,0.51258,19.586,0.55
1.252,0.51262,19.586,0.55
1.256,0.51267,19.586,0.55
1.26,0.51271,19.587,0.55
1.264,0.51276,19.587,0.55
1.268,0.5128,19.587,0.55
1.272,0.51284,19.587,0.55
1.276,0.51289,19.587,0.55
1.28,0.51293,19.588,0.55
1.284,0.51297,19.588,0.55
1.288,0.51302,19.588,0.55
1.292,0.51306,19.588,0.55
1.296,0.5131,19.588,0.55
1.3,0.51314,19.589,0.55
1.304,0.51319,19.589,0.55
1.308,0.51323,19.589,0.55
1.312,0.51327,19.589,0.55
1.316,0.51331,19.589,0.55
1.32,0.51336,19.589,0.55
1.324,0.5134,19.59,0.55
1.328,0.51344,19.59,0.55
1.332,0.51348,19.59,0.55
1.336,0.51352,19.59,0.55
1.34,0.51357,19.59,0.55
1.344,0.51361,19.59,0.55
1.348,0.51365,19.59,0.55
1.352,0.51369,19.59,0.55
1.356,0.51373,19.591,0.55
1.36,0.51377,19.591,0.55
1.364,0.51382,19.591,0.55
1.368,0.51386,19.591,0.55
1.372,0.5139,19.591,0.55
1.376,0.51394,19.591,0.55
1.38,0.51398,19.591,0.55
1.384,0.51402,19.591,0.55
1.388,0.51406,19.591,0.55
1.392,0.5141,19.592,0.55
1.396,0.51414,19.592,0.55
1.4,0.51419,19.592,0.55
1.404,0.51423,19.592,0.55
1.408,0.51427,19.592,0.55
1.412,0.51431,19.592,0.55
1.416,0.51435,19.592,0.55
1.42,0.51439,19.592,0.55
1.424,0.51443,19.592,0.55
1.428,0.51447,19.592,0.55
1.432,0.51451,19.592,0.55
1.436,0.51455,19.592,0.55
1.44,0.51459,19.592,0.55
1.444,0.51463,19.593,0.55
1.448,0.51467,19.593,0.55
1.452,0.51471,19.593,0.55
1.456,0.51475,19.593,0.55
1.46,0.51479,19.593,0.55
1.464,0.51483,19.593,0.55
1.468,0.51487,19.593,0.55
1.472,0.51491,19.593,0.55
1.476,0.51495,19.593,0.55
1.48,0.51499,19.593,0.55
1.484,0.51503,19.593,0.55
1.488,0.51507,19.593,0.55
1.492,0.51511,19.593,0.55
1.496,0.51515,19.593,0.55
1.5,0.51518,19.593,0.55
1.504,0.51522,19.593,0.55
1.508,0.51526,19.593,0.55
1.512,0.5153,19.593,0.55
1.516,0.51534,19.593,0.55
1.52,0.51538,19.593,0.55
1.524,0.51542,19.594,0.55
1.528,0.51546,19.594,0.55
1.532,0.5155,19.594,0.55
1.536,0.51554,19.594,0.55
1.54,0.51557,19.594,0.55
1.544,0.51561,19.594,0.55
1.548,0.51565,19.594,0.55
1.552,0.51569,19.594,0.55
1.556,0.51573,19.594,0.55
1.56,0.51577,19.594,0.55
1.564,0.51581,19.594,0.55
1.568,0.51584,19.594,0.55
1.572,0.51588,19.594,0.55
1.576,0.51592,19.594,0.55
1.58,0.51596,19.594,0.55
1.584,0.516,19.594,0.55
1.588,0.51604,19.594,0.55
1.592,0.51607,19.594,0.55
1.596,0.51611,19.594,0.55
1.6,0.51615,19.594,0.55
1.604,0.51619,19.594,0.55
1.608,0.51623,19.594,0.55
1.612,0.51626,19.594,0.55
1.616,0.5163,19.594,0.55
1.62,0.51634,19.594,0.55
1.624,0.51638,19.594,0.55
1.628,0.51642,19.594,0.55
1.632,0.51645,19.594,0.55
1.636,0.51649,19.594,0.55
1.64,0.51653,19.594,0.55
1.644,0.51657,19.594,0.55
1.648,0.5166,19.594,0.55
1.652,0.51664,19.594,0.55
1.656,0.51668,19.594,0.55
1.66,0.51671,19.594,0.55
