t,z,thrust,z_ref
15.076,0.54922,19.6,0.55
15.08,0.54922,19.6,0.55
15.084,0.54922,19.6,0.55
15.088,0.54922,19.6,0.55
15.092,0.54922,19.6,0.55
15.096,0.54922,19.6,0.55
15.1,0.54922,19.6,0.55
15.104,0.54922,19.6,0.55
15.108,0.54922,19.6,0.55
15.112,0.54922,19.6,0.55
15.116,0.54923,19.6,0.55
15.12,0.54923,19.6,0.55
15.124,0.54923,19.6,0.55
15.128,0.54923,19.6,0.55
15.132,0.54923,19.6,0.55
15.136,0.54923,19.6,0.55
15.14,0.54923,19.6,0.55
15.144,0.54923,19.6,0.55
15.148,0.54923,19.6,0.55
15.152,0.54923,19.6,0.55
15.156,0.54923,19.6,0.55
15.16,0.54924,19.6,0.55
15.164,0.54924,19.6,0.55
15.168,0.54924,19.6,0.55
15.172,0.54924,19.6,0.55
15.176,0.54924,19.6,0.55
15.18,0.54924,19.6,0.55
15.184,0.54924,19.6,0.55
15.188,0.54924,19.6,0.55
15.192,0.54924,19.6,0.55
15.196,0.54924,19.6,0.55
15.2,0.54924,19.6,0.55
15.204,0.54924,19.6,0.55
15.208,0.54925,19.6,0.55
15.212,0.54925,19.6,0.55
15.216,0.54925,19.6,0.55
15.22,0.54925,19.6,0.55
15.224,0.54925,19.6,0.55
15.228,0.54925,19.6,0.55
15.232,0.54925,19.6,0.55
15.236,0.54925,19.6,0.55
15.24,0.54925,19.6,0.55
15.244,0.54925,19.6,0.55
15.248,0.54925,19.6,0.55
15.252,0.54925,19.6,0.55
15.256,0.54926,19.6,0.55
15.26,0.54926,19.6,0.55
15.264,0.54926,19.6,0.55
15.268,0.54926,19.6,0.55
15.272,0.54926,19.6,0.55
15.276,0.54926,19.6,0.55
15.28,0.54926,19.6,0.55
15.284,0.54926,19.6,0.55
15.288,0.54926,19.6,0.55
15.292,0.54926,19.6,0.55
15.296,0.54926,19.6,0.55
15.3,0.54926,19.6,0.55
15.304,0.54927,19.6,0.55
15.308,0.54927,19.6,0.55
15.312,0.54927,19.6,0.55
15.316,0.54927,19.6,0.55
15.32,0.54927,19.6,0.55
15.324,0.54927,19.6,0.55
15.328,0.54927,19.6,0.55
15.332,0.54927,19.6,0.55
15.336,0.54927,19.6,0.55
15.34,0.54927,19.6,0.55
15.344,0.54927,19.6,0.55
15.348,0.54927,19.6,0.55
15.352,0.54928,19.6,0.55
15.356,0.54928,19.6,0.55
15.36,0.54928,19.6,0.55
15.364,0.54928,19.6,0.55
15.368,0.54928,19.6,0.55
15.372,0.54928,19.6,0.55
15.376,0.54928,19.6,0.55
15.38,0.54928,19.6,0.55
15.384,0.54928,19.6,0.55
15.388,0.54928,19.6,0.55
15.392,0.54928,19.6,0.55
15.396,0.54928,19.6,0.55
15.4,0.54928,19.6,0.55
15.404,0.54929,19.6,0.55
15.408,0.54929,19.6,0.55
15.412,0.54929,19.6,0.55
15.416,0.54929,19.6,0.55
15.42,0.54929,19.6,0.55
15.424,0.54929,19.6,0.55
15.428,0.54929,19.6,0.55
15.432,0.54929,19.6,0.55
15.436,0.54929,19.6,0.55
15.44,0.54929,19.6,0.55
15.444,0.54929,19.6,0.55
15.448,0.54929,19.6,0.55
15.452,0.5493,19.6,0.55
15.456,0.5493,19.6,0.55
15.46,0.5493,19.6,0.55
15.464,0.5493,19.6,0.55
15.468,0.5493,19.6,0.55
15.472,0.5493,19.6,0.55
15.476,0.5493,19.6,0.55
15.48,0.5493,19.6,0.55
15.484,0.5493,19.6,0.55
15.488,0.5493,19.6,0.55
15.492,0.5493,19.6,0.55
15.496,0.5493,19.6,0.55
15.5,0.5493,19.6,0.55
15.504,0.54931,19.6,0.55
15.508,0.54931,19.6,0.55
15.512,0.54931,19.6,0.55
15.516,0.54931,19.6,0.55
15.52,0.54931,19.6,0.55
15.524,0.54931,19.6,0.55
15.528,0.54931,19.6,0.55
15.532,0.54931,19.6,0.55
15.536,0.54931,19.6,0.55
15.54,0.54931,19.6,0.55
15.544,0.54931,19.6,0.55
15.548,0.54931,19.6,0.55
15.552,0.54931,19.6,0.55
15.556,0.54932,19.6,0.55
15.56,0.54932,19.6,0.55
15.564,0.54932,19.6,0.55
15.568,0.54932,19.6,0.55
15.572,0.54932,19.6,0.55
15.576,0.54932,19.6,0.55
15.58,0.54932,19.6,0.55
15.584,0.54932,19.6,0.55
15.588,0.54932,19.6,0.55
15.592,0.54932,19.6,0.55
15.596,0.54932,19.6,0.55
15.6,0.54932,19.6,0.55
15.604,0.54932,19.6,0.55
15.608,0.54933,19.6,0.55
15.612,0.54933,19.6,0.55
15.616,0.54933,19.6,0.55
15.62,0.54933,19.6,0.55
15.624,0.54933,19.6,0.55
15.628,0.54933,19.6,0.55
15.632,0.54933,19.6,0.55
15.636,0.54933,19.6,0.55
15.64,0.54933,19.6,0.55
15.644,0.54933,19.6,0.55
15.648,0.54933,19.6,0.55
15.652,0.54933,19.6,0.55
15.656,0.54933,19.6,0.55
15.66,0.54933,19.6,0.55
15.664,0.54934,19.6,0.55
15.668,0.54934,19.6,0.55
15.672,0.54934,19.6,0.55
15.676,0.54934,19.6,0.55
15.68,0.54934,19.6,0.55
15.684,0.54934,19.6,0.55
15.688,0.54934,19.6,0.55
15.692,0.54934,19.6,0.55
15.696,0.54934,19.6,0.55
15.7,0.54934,19.6,0.55
15.704,0.54934,19.6,0.55
15.708,0.54934,19.6,0.55
15.712,0.54934,19.6,0.55
15.716,0.54935,19.6,0.55
15.72,0.54935,19.6,0.55
15.724,0.54935,19.6,0.55
15.728,0.54935,19.6,0.55
15.732,0.54935,19.6,0.55
15.736,0.54935,19.6,0.55
15.74,0.54935,19.6,0.55
15.744,0.54935,19.6,0.55
15.748,0.54935,19.6,0.55
15.752,0.54935,19.6,0.55
15.756,0.54935,19.6,0.55
15.76,0.54935,19.6,0.55
15.764,0.54935,19.6,0.55
15.768,0.54935,19.6,0.55
15.772,0.54936,19.6,0.55
15.776,0.54936,19.6,0.55
15.78,0.54936,19.6,0.55
15.784,0.54936,19.6,0.55
15.788,0.54936,19.6,0.55
15.792,0.54936,19.6,0.55
15.796,0.54936,19.6,0.55
15.8,0.54936,19.6,0.55
15.804,0.54936,19.6,0.55
15.808,0.54936,19.6,0.55
15.812,0.54936,19.6,0.55
15.816,0.54936,19.6,0.55
15.82,0.54936,19.6,0.55
15.824,0.54936,19.6,0.55
15.828,0.54937,19.6,0.55
15.832,0.54937,19.6,0.55
15.836,0.54937,19.6,0.55
15.84,0.54937,19.6,0.55
15.844,0.54937,19.6,0.55
15.848,0.54937,19.6,0.55
15.852,0.54937,19.6,0.55
15.856,0.54937,19.6,0.55
15.86,0.54937,19.6,0.55
15.864,0.54937,19.6,0.55
15.868,0.54937,19.6,0.55
15.872,0.54937,19.6,0.55
15.876,0.54937,19.6,0.55
15.88,0.54937,19.6,0.55
15.884,0.54938,19.6,0.55
15.888,0.54938,19.6,0.55
15.892,0.54938,19.6,0.55
15.896,0.54938,19.6,0.55
15.9,0.54938,19.6,0.55
15.904,0.54938,19.6,0.55
15.908,0.54938,19.6,0.55
15.912,0.54938,19.6,0.55
15.916,0.54938,19.6,0.55
15.92,0.54938,19.6,0.55
15.924,0.54938,19.6,0.55
15.928,0.54938,19.6,0.55
15.932,0.54938,19.6,0.55
15.936,0.54938,19.6,0.55
15.94,0.54938,19.6,0.55
15.944,0.54939,19.6,0.55
15.948,0.54939,19.6,0.55
15.952,0.54939,19.6,0.55
15.956,0.54939,19.6,0.55
15.96,0.54939,19.6,0.55
15.964,0.54939,19.6,0.55
15.968,0.54939,19.6,0.55
15.972,0.54939,19.6,0.55
15.976,0.54939,19.6,0.55
15.98,0.54939,19.6,0.55
15.984,0.54939,19.6,0.55
15.988,0.54939,19.6,0.55
15.992,0.54939,19.6,0.55
15.996,0.54939,19.6,0.55
16,0.5494,19.6,0.55
16.004,0.5494,19.6,0.55
16.008,0.5494,19.6,0.55
16.012,0.5494,19.6,0.55
16.016,0.5494,19.6,0.55
16.02,0.5494,19.6,0.55
16.024,0.5494,19.6,0.55
16.028,0.5494,19.6,0.55
16.032,0.5494,19.6,0.55
16.036,0.5494,19.6,0.55
16.04,0.5494,19.6,0.55
16.044,0.5494,19.6,0.55
16.048,0.5494,19.6,0.55
16.052,0.5494,19.6,0.55
16.056,0.5494,19.6,0.55
16.06,0.54941,19.6,0.55
16.064,0.54941,19.6,0.55
16.068,0.54941,19.6,0.55
16.072,0.54941,19.6,0.55
16.076,0.54941,19.6,0.55
16.08,0.54941,19.6,0.55
16.084,0.54941,19.6,0.55
16.088,0.54941,19.6,0.55
16.092,0.54941,19.6,0.55
16.096,0.54941,19.6,0.55
16.1,0.54941,19.6,0.55
16.104,0.54941,19.6,0.55
16.108,0.54941,19.6,0.55
16.112,0.54941,19.6,0.55
16.116,0.54941,19.6,0.55
16.12,0.54942,19.6,0.55
16.124,0.54942,19.6,0.55
16.128,0.54942,19.6,0.55
16.132,0.54942,19.6,0.55
16.136,0.54942,19.6,0.55
16.14,0.54942,19.6,0.55
16.144,0.54942,19.6,0.55
16.148,0.54942,19.6,0.55
16.152,0.54942,19.6,0.55
16.156,0.54942,19.6,0.55
16.16,0.54942,19.6,0.55
16.164,0.54942,19.6,0.55
16.168,0.54942,19.6,0.55
16.172,0.54942,19.6,0.55
16.176,0.54942,19.6,0.55
16.18,0.54942,19.6,0.55
16.184,0.54943,19.6,0.55
16.188,0.54943,19.6,0.55
16.192,0.54943,19.6,0.55
16.196,0.54943,19.6,0.55
16.2,0.54943,19.6,0.55
16.204,0.54943,19.6,0.55
16.208,0.54943,19.6,0.55
16.212,0.54943,19.6,0.55
16.216,0.54943,19.6,0.55
16.22,0.54943,19.6,0.55
16.224,0.54943,19.6,0.55
16.228,0.54943,19.6,0.55
16.232,0.54943,19.6,0.55
16.236,0.54943,19.6,0.55
16.24,0.54943,19.6,0.55
16.244,0.54944,19.6,0.55
16.248,0.54944,19.6,0.55
16.252,0.54944,19.6,0.55
16.256,0.54944,19.6,0.55
16.26,0.54944,19.6,0.55
16.264,0.54944,19.6,0.55
16.268,0.54944,19.6,0.55
16.272,0.54944,19.6,0.55
16.276,0.54944,19.6,0.55
16.28,0.54944,19.6,0.55
16.284,0.54944,19.6,0.55
16.288,0.54944,19.6,0.55
16.292,0.54944,19.6,0.55
16.296,0.54944,19.6,0.55
16.3,0.54944,19.6,0.55
16.304,0.54944,19.6,0.55
16.308,0.54945,19.6,0.55
16.312,0.54945,19.6,0.55
16.316,0.54945,19.6,0.55
16.32,0.54945,19.6,0.55
16.324,0.54945,19.6,0.55
16.328,0.54945,19.6,0.55
16.332,0.54945,19.6,0.55
16.336,0.54945,19.6,0.55
16.34,0.54945,19.6,0.55
16.344,0.54945,19.6,0.55
16.348,0.54945,19.6,0.55
16.352,0.54945,19.6,0.55
16.356,0.54945,19.6,0.55
16.36,0.54945,19.6,0.55
16.364,0.54945,19.6,0.55
16.368,0.54945,19.6,0.55
16.372,0.54945,19.6,0.55
16.376,0.54946,19.6,0.55
16.38,0.54946,19.6,0.55
16.384,0.54946,19.6,0.55
16.388,0.54946,19.6,0.55
16.392,0.54946,19.6,0.55
16.396,0.54946,19.6,0.55
16.4,0.54946,19.6,0.55
16.404,0.54946,19.6,0.55
16.408,0.54946,19.6,0.55
16.412,0.54946,19.6,0.55
16.416,0.54946,19.6,0.55
16.42,0.54946,19.6,0.55
16.424,0.54946,19.6,0.55
16.428,0.54946,19.6,0.55
16.432,0.54946,19.6,0.55
16.436,0.54946,19.6,0.55
16.44,0.54947,19.6,0.55
16.444,0.54947,19.6,0.55
16.448,0.54947,19.6,0.55
16.452,0.54947,19.6,0.55
16.456,0.54947,19.6,0.55
16.46,0.54947,19.6,0.55
16.464,0.54947,19.6,0.55
16.468,0.54947,19.6,0.55
16.472,0.54947,19.6,0.55
16.476,0.54947,19.6,0.55
16.48,0.54947,19.6,0.55
16.484,0.54947,19.6,0.55
16.488,0.54947,19.6,0.55
16.492,0.54947,19.6,0.55
16.496,0.54947,19.6,0.55
16.5,0.54947,19.6,0.55
16.504,0.54947,19.6,0.55
16.508,0.54948,19.6,0.55
16.512,0.54948,19.6,0.55
16.516,0.54948,19.6,0.55
16.52,0.54948,19.6,0.55
16.524,0.54948,19.6,0.55
16.528,0.54948,19.6,0.55
16.532,0.54948,19.6,0.55
16.536,0.54948,19.6,0.55
16.54,0.54948,19.6,0.55
16.544,0.54948,19.6,0.55
16.548,0.54948,19.6,0.55
16.552,0.54948,19.6,0.55
16.556,0.54948,19.6,0.55
16.56,0.54948,19.6,0.55
16.564,0.54948,19.6,0.55
16.568,0.54948,19.6,0.55
16.572,0.54948,19.6,0.55
16.576,0.54949,19.6,0.55
16.58,0.54949,19.6,0.55
16.584,0.54949,19.6,0.55
16.588,0.54949,19.6,0.55
16.592,0.54949,19.6,0.55
16.596,0.54949,19.6,0.55
16.6,0.54949,19.6,0.55
16.604,0.54949,19.6,0.55
16.608,0.54949,19.6,0.55
16.612,0.54949,19.6,0.55
16.616,0.54949,19.6,0.55
16.62,0.54949,19.6,0.55
16.624,0.54949,19.6,0.55
16.628,0.54949,19.6,0.55
16.632,0.54949,19.6,0.55
16.636,0.54949,19.6,0.55
16.64,0.54949,19.6,0.55
16.644,0.54949,19.6,0.55
16.648,0.5495,19.6,0.55
16.652,0.5495,19.6,0.55
16.656,0.5495,19.6,0.55
16.66,0.5495,19.6,0.55
16.664,0.5495,19.6,0.55
16.668,0.5495,19.6,0.55
16.672,0.5495,19.6,0.55
16.676,0.5495,19.6,0.55
16.68,0.5495,19.6,0.55
16.684,0.5495,19.6,0.55
16.688,0.5495,19.6,0.55
16.692,0.5495,19.6,0.55
16.696,0.5495,19.6,0.55
16.7,0.5495,19.6,0.55
16.704,0.5495,19.6,0.55
16.708,0.5495,19.6,0.55
16.712,0.5495,19.6,0.55
16.716,0.5495,19.6,0.55
16.72,0.54951,19.6,0.55
16.724,0.54951,19.6,0.55
16.728,0.54951,19.6,0.55
16.732,0.54951,19.6,0.55
16.736,0.54951,19.6,0.55
16.74,0.54951,19.6,0.55
16.744,0.54951,19.6,0.55
16.748,0.54951,19.6,0.55
16.752,0.54951,19.6,0.55
16.756,0.54951,19.6,0.55
16.76,0.54951,19.6,0.55
16.764,0.54951,19.6,0.55
16.768,0.54951,19.6,0.55
16.772,0.54951,19.6,0.55
16.776,0.54951,19.6,0.55
16.78,0.54951,19.6,0.55
16.784,0.54951,19.6,0.55
16.788,0.54951,19.6,0.55
16.792,0.54952,19.6,0.55
16.796,0.54952,19.6,0.55
16.8,0.54952,19.6,0.55
16.804,0.54952,19.6,0.55
16.808,0.54952,19.6,0.55
16.812,0.54952,19.6,0.55
16.816,0.54952,19.6,0.55
16.82,0.54952,19.6,0.55
16.824,0.54952,19.6,0.55
16.828,0.54952,19.6,0.55
16.832,0.54952,19.6,0.55
16.836,0.54952,19.6,0.55
16.84,0.54952,19.6,0.55
16.844,0.54952,19.6,0.55
16.848,0.54952,19.6,0.55
16.852,0.54952,19.6,0.55
16.856,0.54952,19.6,0.55
16.86,0.54952,19.6,0.55
16.864,0.54952,19.6,0.55
16.868,0.54953,19.6,0.55
16.872,0.54953,19.6,0.55
16.876,0.54953,19.6,0.55
16.88,0.54953,19.6,0.55
16.884,0.54953,19.6,0.55
16.888,0.54953,19.6,0.55
16.892,0.54953,19.6,0.55
16.896,0.54953,19.6,0.55
16.9,0.54953,19.6,0.55
16.904,0.54953,19.6,0.55
16.908,0.54953,19.6,0.55
16.912,0.54953,19.6,0.55
16.916,0.54953,19.6,0.55
16.92,0.54953,19.6,0.55
16.924,0.54953,19.6,0.55
16.928,0.54953,19.6,0.55
16.932,0.54953,19.6,0.55
16.936,0.54953,19.6,0.55
16.94,0.54953,19.6,0.55
16.944,0.54954,19.6,0.55
16.948,0.54954,19.6,0.55
16.952,0.54954,19.6,0.55
16.956,0.54954,19.6,0.55
16.96,0.54954,19.6,0.55
16.964,0.54954,19.6,0.55
16.968,0.54954,19.6,0.55
16.972,0.54954,19.6,0.55
16.976,0.54954,19.6,0.55
16.98,0.54954,19.6,0.55
16.984,0.54954,19.6,0.55
16.988,0.54954,19.6,0.55
16.992,0.54954,19.6,0.55
16.996,0.54954,19.6,0.55
17,0.54954,19.6,0.55
17.004,0.54954,19.6,0.55
17.008,0.54954,19.6,0.55
17.012,0.54954,19.6,0.55
17.016,0.54954,19.6,0.55
17.02,0.54955,19.6,0.55
17.024,0.54955,19.6,0.55
17.028,0.54955,19.6,0.55
17.032,0.54955,19.6,0.55
17.036,0.54955,19.6,0.55
17.04,0.54955,19.6,0.55
17.044,0.54955,19.6,0.55
17.048,0.54955,19.6,0.55
17.052,0.54955,19.6,0.55
17.056,0.54955,19.6,0.55
17.06,0.54955,19.6,0.55
17.064,0.54955,19.6,0.55
17.068,0.54955,19.6,0.55
17.072,0.54955,19.6,0.55
17.076,0.54955,19.6,0.55
17.08,0.54955,19.6,0.55
17.084,0.54955,19.6,0.55
17.088,0.54955,19.6,0.55
17.092,0.54955,19.6,0.55
17.096,0.54955,19.6,0.55
17.1,0.54956,19.6,0.55
17.104,0.54956,19.6,0.55
17.108,0.54956,19.6,0.55
17.112,0.54956,19.6,0.55
17.116,0.54956,19.6,0.55
17.12,0.54956,19.6,0.55
17.124,0.54956,19.6,0.55
17.128,0.54956,19.6,0.55
17.132,0.54956,19.6,0.55
17.136,0.54956,19.6,0.55
17.14,0.54956,19.6,0.55
17.144,0.54956,19.6,0.55
17.148,0.54956,19.6,0.55
17.152,0.54956,19.6,0.55
17.156,0.54956,19.6,0.55
17.16,0.54956,19.6,0.55
17.164,0.54956,19.6,0.55
17.168,0.54956,19.6,0.55
17.172,0.54956,19.6,0.55
17.176,0.54956,19.6,0.55
17.18,0.54957,19.6,0.55
17.184,0.54957,19.6,0.55
17.188,0.54957,19.6,0.55
17.192,0.54957,19.6,0.55
17.196,0.54957,19.6,0.55
17.2,0.54957,19.6,0.55
17.204,0.54957,19.6,0.55
17.208,0.54957,19.6,0.55
17.212,0.54957,19.6,0.55
17.216,0.54957,19.6,0.55
17.22,0.54957,19.6,0.55
17.224,0.54957,19.6,0.55
17.228,0.54957,19.6,0.55
17.232,0.54957,19.6,0.55
17.236,0.54957,19.6,0.55
17.24,0.54957,19.6,0.55
17.244,0.54957,19.6,0.55
17.248,0.54957,19.6,0.55
17.252,0.54957,19.6,0.55
17.256,0.54957,19.6,0.55
17.26,0.54957,19.6,0.55
17.264,0.54958,19.6,0.55
17.268,0.54958,19.6,0.55
17.272,0.54958,19.6,0.55
17.276,0.54958,19.6,0.55
17.28,0.54958,19.6,0.55
17.284,0.54958,19.6,0.55
17.288,0.54958,19.6,0.55
17.292,0.54958,19.6,0.55
17.296,0.54958,19.6,0.55
17.3,0.54958,19.6,0.55
17.304,0.54958,19.6,0.55
17.308,0.54958,19.6,0.55
17.312,0.54958,19.6,0.55
17.316,0.54958,19.6,0.55
17.32,0.54958,19.6,0.55
17.324,0.54958,19.6,0.55
17.328,0.54958,19.6,0.55
17.332,0.54958,19.6,0.55
17.336,0.54958,19.6,0.55
17.34,0.54958,19.6,0.55
17.344,0.54958,19.6,0.55
17.348,0.54959,19.6,0.55
17.352,0.54959,19.6,0.55
17.356,0.54959,19.6,0.55
17.36,0.54959,19.6,0.55
17.364,0.54959,19.6,0.55
17.368,0.54959,19.6,0.55
17.372,0.54959,19.6,0.55
17.376,0.54959,19.6,0.55
17.38,0.54959,19.6,0.55
17.384,0.54959,19.6,0.55
17.388,0.54959,19.6,0.55
17.392,0.54959,19.6,0.55
17.396,0.54959,19.6,0.55
17.4,0.54959,19.6,0.55
17.404,0.54959,19.6,0.55
17.408,0.54959,19.6,0.55
17.412,0.54959,19.6,0.55
17.416,0.54959,19.6,0.55
17.42,0.54959,19.6,0.55
17.424,0.54959,19.6,0.55
17.428,0.54959,19.6,0.55
17.432,0.54959,19.6,0.55
17.436,0.5496,19.6,0.55
17.44,0.5496,19.6,0.55
17.444,0.5496,19.6,0.55
17.448,0.5496,19.6,0.55
17.452,0.5496,19.6,0.55
17.456,0.5496,19.6,0.55
17.46,0.5496,19.6,0.55
17.464,0.5496,19.6,0.55
17.468,0.5496,19.6,0.55
17.472,0.5496,19.6,0.55
17.476,0.5496,19.6,0.55
17.48,0.5496,19.6,0.55
17.484,0.5496,19.6,0.55
17.488,0.5496,19.6,0.55
17.492,0.5496,19.6,0.55
17.496,0.5496,19.6,0.55
17.5,0.5496,19.6,0.55
17.504,0.5496,19.6,0.55
17.508,0.5496,19.6,0.55
17.512,0.5496,19.6,0.55
17.516,0.5496,19.6,0.55
17.52,0.5496,19.6,0.55
17.524,0.5496,19.6,0.55
17.528,0.54961,19.6,0.55
17.532,0.54961,19.6,0.55
17.536,0.54961,19.6,0.55
17.54,0.54961,19.6,0.55
17.544,0.54961,19.6,0.55
17.548,0.54961,19.6,0.55
17.552,0.54961,19.6,0.55
17.556,0.54961,19.6,0.55
17.56,0.54961,19.6,0.55
17.564,0.54961,19.6,0.55
17.568,0.54961,19.6,0.55
17.572,0.54961,19.6,0.55
17.576,0.54961,19.6,0.55
17.58,0.54961,19.6,0.55
17.584,0.54961,19.6,0.55
17.588,0.54961,19.6,0.55
17.592,0.54961,19.6,0.55
17.596,0.54961,19.6,0.55
17.6,0.54961,19.6,0.55
17.604,0.54961,19.6,0.55
17.608,0.54961,19.6,0.55
17.612,0.54961,19.6,0.55
17.616,0.54961,19.6,0.55
17.62,0.54962,19.6,0.55
17.624,0.54962,19.6,0.55
17.628,0.54962,19.6,0.55
17.632,0.54962,19.6,0.55
17.636,0.54962,19.6,0.55
17.64,0.54962,19.6,0.55
17.644,0.54962,19.6,0.55
17.648,0.54962,19.6,0.55
17.652,0.54962,19.6,0.55
17.656,0.54962,19.6,0.55
17.66,0.54962,19.6,0.55
17.664,0.54962,19.6,0.55
17.668,0.54962,19.6,0.55
17.672,0.54962,19.6,0.55
17.676,0.54962,19.6,0.55
17.68,0.54962,19.6,0.55
17.684,0.54962,19.6,0.55
17.688,0.54962,19.6,0.55
17.692,0.54962,19.6,0.55
17.696,0.54962,19.6,0.55
17.7,0.54962,19.6,0.55
17.704,0.54962,19.6,0.55
17.708,0.54962,19.6,0.55
17.712,0.54963,19.6,0.55
17.716,0.54963,19.6,0.55
17.72,0.54963,19.6,0.55
17.724,0.54963,19.6,0.55
17.728,0.54963,19.6,0.55
17.732,0.54963,19.6,0.55
17.736,0.54963,19.6,0.55
17.74,0.54963,19.6,0.55
17.744,0.54963,19.6,0.55
17.748,0.54963,19.6,0.55
17.752,0.54963,19.6,0.55
17.756,0.54963,19.6,0.55
17.76,0.54963,19.6,0.55
17.764,0.54963,19.6,0.55
17.768,0.54963,19.6,0.55
17.772,0.54963,19.6,0.55
17.776,0.54963,19.6,0.55
17.78,0.54963,19.6,0.55
17.784,0.54963,19.6,0.55
17.788,0.54963,19.6,0.55
17.792,0.54963,19.6,0.55
17.796,0.54963,19.6,0.55
17.8,0.54963,19.6,0.55
17.804,0.54963,19.6,0.55
17.808,0.54964,19.6,0.55
17.812,0.54964,19.6,0.55
17.816,0.54964,19.6,0.55
17.82,0.54964,19.6,0.55
17.824,0.54964,19.6,0.55
17.828,0.54964,19.6,0.55
17.832,0.54964,19.6,0.55
17.836,0.54964,19.6,0.55
17.84,0.54964,19.6,0.55
17.844,0.54964,19.6,0.55
17.848,0.54964,19.6,0.55
17.852,0.54964,19.6,0.55
17.856,0.54964,19.6,0.55
17.86,0.54964,19.6,0.55
17.864,0.54964,19.6,0.55
17.868,0.54964,19.6,0.55
17.872,0.54964,19.6,0.55
17.876,0.54964,19.6,0.55
17.88,0.54964,19.6,0.55
17.884,0.54964,19.6,0.55
17.888,0.54964,19.6,0.55
17.892,0.54964,19.6,0.55
17.896,0.54964,19.6,0.55
17.9,0.54964,19.6,0.55
17.904,0.54964,19.6,0.55
17.908,0.54965,19.6,0.55
17.912,0.54965,19.6,0.55
17.916,0.54965,19.6,0.55
17.92,0.54965,19.6,0.55
17.924,0.54965,19.6,0.55
17.928,0.54965,19.6,0.55
17.932,0.54965,19.6,0.55
17.936,0.54965,19.6,0.55
17.94,0.54965,19.6,0.55
17.944,0.54965,19.6,0.55
17.948,0.54965,19.6,0.55
17.952,0.54965,19.6,0.55
17.956,0.54965,19.6,0.55
17.96,0.54965,19.6,0.55
17.964,0.54965,19.6,0.55
17.968,0.54965,19.6,0.55
17.972,0.54965,19.6,0.55
17.976,0.54965,19.6,0.55
17.98,0.54965,19.6,0.55
17.984,0.54965,19.6,0.55
17.988,0.54965,19.6,0.55
17.992,0.54965,19.6,0.55
17.996,0.54965,19.6,0.55
18,0.54965,19.6,0.55
18.004,0.54965,19.6,0.55
18.008,0.54965,19.6,0.55
18.012,0.54966,19.6,0.55
18.016,0.54966,19.6,0.55
18.02,0.54966,19.6,0.55
18.024,0.54966,19.6,0.55
18.028,0.54966,19.6,0.55
18.032,0.54966,19.6,0.55
18.036,0.54966,19.6,0.55
18.04,0.54966,19.6,0.55
18.044,0.54966,19.6,0.55
18.048,0.54966,19.6,0.55
18.052,0.54966,19.6,0.55
18.056,0.54966,19.6,0.55
18.06,0.54966,19.6,0.55
18.064,0.54966,19.6,0.55
18.068,0.54966,19.6,0.55
18.072,0.54966,19.6,0.55
18.076,0.54966,19.6,0.55
18.08,0.54966,19.6,0.55
18.084,0.54966,19.6,0.55
18.088,0.54966,19.6,0.55
18.092,0.54966,19.6,0.55
18.096,0.54966,19.6,0.55
18.1,0.54966,19.6,0.55
18.104,0.54966,19.6,0.55
18.108,0.54966,19.6,0.55
18.112,0.54966,19.6,0.55
18.116,0.54967,19.6,0.55
18.12,0.54967,19.6,0.55
18.124,0.54967,19.6,0.55
18.128,0.54967,19.6,0.55
18.132,0.54967,19.6,0.55
18.136,0.54967,19.6,0.55
18.14,0.54967,19.6,0.55
18.144,0.54967,19.6,0.55
18.148,0.54967,19.6,0.55
18.152,0.54967,19.6,0.55
18.156,0.54967,19.6,0.55
18.16,0.54967,19.6,0.55
18.164,0.54967,19.6,0.55
18.168,0.54967,19.6,0.55
18.172,0.54967,19.6,0.55
18.176,0.54967,19.6,0.55
18.18,0.54967,19.6,0.55
18.184,0.54967,19.6,0.55
18.188,0.54967,19.6,0.55
18.192,0.54967,19.6,0.55
18.196,0.54967,19.6,0.55
18.2,0.54967,19.6,0.55
18.204,0.54967,19.6,0.55
18.208,0.54967,19.6,0.55
18.212,0.54967,19.6,0.55
18.216,0.54967,19.6,0.55
18.22,0.54967,19.6,0.55
18.224,0.54968,19.6,0.55
18.228,0.54968,19.6,0.55
18.232,0.54968,19.6,0.55
18.236,0.54968,19.6,0.55
18.24,0.54968,19.6,0.55
18.244,0.54968,19.6,0.55
18.248,0.54968,19.6,0.55
18.252,0.54968,19.6,0.55
18.256,0.54968,19.6,0.55
18.26,0.54968,19.6,0.55
18.264,0.54968,19.6,0.55
18.268,0.54968,19.6,0.55
18.272,0.54968,19.6,0.55
18.276,0.54968,19.6,0.55
18.28,0.54968,19.6,0.55
18.284,0.54968,19.6,0.55
18.288,0.54968,19.6,0.55
18.292,0.54968,19.6,0.55
18.296,0.54968,19.6,0.55
18.3,0.54968,19.6,0.55
18.304,0.54968,19.6,0.55
18.308,0.54968,19.6,0.55
18.312,0.54968,19.6,0.55
18.316,0.54968,19.6,0.55
18.32,0.54968,19.6,0.55
18.324,0.54968,19.6,0.55
18.328,0.54968,19.6,0.55
18.332,0.54968,19.6,0.55
18.336,0.54969,19.6,0.55
18.34,0.54969,19.6,0.55
18.344,0.54969,19.6,0.55
18.348,0.54969,19.6,0.55
18.352,0.54969,19.6,0.55
18.356,0.54969,19.6,0.55
18.36,0.54969,19.6,0.55
18.364,0.54969,19.6,0.55
